medical,simple
"Our search strategy identified six reports for potential inclusion. Of those, we included one trial (four reports) involving 158 women, which was at low risk of bias. The one included trial examined the effect of prenatal repair versus postnatal repair. For the primary infant outcome of neonatal mortality, there was no clear evidence of a difference identified for prenatal versus postnatal repair (one study, 158 infants, risk ratio (RR) 0.51, 95% confidence interval (CI) 0.05 to 5.54), however event rates were uncommon and so the analysis is likely to be underpowered to detect differences. Prenatal repair was associated with an earlier gestational age at birth (one study, 158 infants, mean difference (MD) -3.20 weeks, 95% CI -3.93 to -2.47) and a corresponding increase in both the risk of preterm birth before 37 weeks (one study, 158 infants, RR 5.30, 95% CI 3.11 to 9.04) and preterm birth before 34 weeks (one study, 158 infants, RR 9.23, 95% CI 3.45 to 24.71). Prenatal repair was associated with a reduction in shunt dependent hydrocephalus and moderate to severe hindbrain herniation. For women, prenatal repair was associated with increased preterm ruptured membranes (one study, 158 women, RR 6.15, 95% CI 2.75 to 13.78), although there was no clear evidence of difference in the risk of chorioamnionitis or blood transfusion, although again, event rates were uncommon. A number of this review's secondary infant and maternal outcomes were not reported. For the infant: days of hospital admission; survival to discharge; stillbirth; need for further surgery (e.g. skin grafting); neurogenic bladder dysfunction; childhood/infant quality of life. For the mother: admission to intensive care; women's emotional wellbeing and satisfaction with care. This review is based one small well-conducted study. There is insufficient evidence to recommend drawing firm conclusions on the benefits or harms of prenatal repair as an intervention for fetuses with spina bifida. Current evidence is limited by the small number of pregnancies that have been included in the single conducted randomised trial to date.","This review aimed to compare the effects of in utero repair versus repair as a newborn. We included one randomised controlled trial involving 158 women who were from 19 to 27 weeks pregnant with a baby with severe spina bifida and evidence of hindbrain herniation. For neonatal mortality, there was no clear difference identified for prenatal versus postnatal repair. However, the numbers of neonates who died were low and so the review was likely underpowered to detect any difference. Prenatal repair was associated with reduced need for shunt placement and a reduction in the risk of moderate to severe hindbrain herniation after birth. No direct complications of the repair procedure were evident, including orthopaedic deformities. Prenatal repair was associated with an increased risk of the women experiencing preterm ruptured membranes and subsequent preterm birth (both before 34 and 37 weeks). Severe maternal illness (infection and need for blood transfusion) were not clearly different; although the review was underpowered to detect any difference in these important, less common outcomes. The included trial was of high quality (low risk of bias) but included a small number of pregnancies. There is currently insufficient evidence to recommend in utero repair for unborn babies with spina bifida."
"We identified six studies eligible for inclusion in this review; five RCTs and one NRS. Three completed RCTs (156 participants), one completed NRS (84 participants), and two ongoing RCTs. We identified one additional RCT awaiting classification. The completed studies were conducted between 1997 and 2015 and had a mean follow-up from 31 days to 2 years. One study included children receiving a HSCT (six participants), the other three studies only included adults: 218 participants with acute leukaemia receiving chemotherapy, and 16 with a haematological malignancy receiving a HSCT. The restrictive strategies varied from 70 g/L to 90 g/L. The liberal strategies also varied from 80 g/L to 120 g/L. Based on the GRADE rating methodology the overall quality of the included studies was very low to low across different outcomes. None of the included studies were free from bias for all 'Risk of bias' domains. One of the three RCTs was discontinued early for safety concerns after recruiting only six children, all three participants in the liberal group developed veno-occlusive disease (VOD). Evidence from RCTs A restrictive RBC transfusion policy may make little or no difference to: the number of participants who died within 100 days (two trials, 95 participants (RR: 0.25, 95% CI 0.02 to 2.69, low-quality evidence); the number of participants who experienced any bleeding (two studies, 149 participants; RR:0.93, 95% CI 0.73 to 1.18, low-quality evidence), or clinically significant bleeding (two studies, 149 participants, RR: 1.03, 95% CI 0.75 to 1.43, low-quality evidence); the number of participants who required RBC transfusions (three trials; 155 participants: RR: 0.97, 95% CI 0.90 to 1.05, low-quality evidence); or the length of hospital stay (restrictive median 35.5 days (interquartile range (IQR): 31.2 to 43.8); liberal 36 days (IQR: 29.2 to 44), low-quality evidence). We are uncertain whether the restrictive RBC transfusion strategy: decreases quality of life (one trial, 89 participants, fatigue score: restrictive median 4.8 (IQR 4 to 5.2); liberal median 4.5 (IQR 3.6 to 5) (very low-quality evidence); or reduces the risk of developing any serious infection (one study, 89 participants, RR: 1.23, 95% CI 0.74 to 2.04, very low-quality evidence). A restrictive RBC transfusion policy may reduce the number of RBC transfusions per participant (two trials; 95 participants; mean difference (MD) -3.58, 95% CI -5.66 to -1.49, low-quality evidence). Evidence from NRS We are uncertain whether the restrictive RBC transfusion strategy: reduces the risk of death within 100 days (one study, 84 participants, restrictive 1 death; liberal 1 death; very low-quality evidence); decreases the risk of clinically significant bleeding (one study, 84 participants, restrictive 3; liberal 8; very low-quality evidence); or decreases the number of RBC transfusions (adjusted for age, sex and acute myeloid leukaemia type geometric mean 1.25; 95% CI 1.07 to 1.47 - data analysis performed by the study authors) No NRS were found that looked at: quality of life; number of participants with any bleeding; serious infection; or length of hospital stay. No studies were found that looked at: adverse transfusion reactions; arterial or venous thromboembolic events; length of intensive care admission; or readmission to hospital. Findings from this review were based on four studies and 240 participants. There is low-quality evidence that a restrictive RBC transfusion policy reduces the number of RBC transfusions per participant. There is low-quality evidence that a restrictive RBC transfusion policy has little or no effect on: mortality at 30 to 100 days, bleeding, or hospital stay. This evidence is mainly based on adults with acute leukaemia who are having chemotherapy. Although, the two ongoing studies (530 participants) are due to be completed by January 2018 and will provide additional information for adults with haematological malignancies, we will not be able to answer this review's primary outcome. If we assume a mortality rate of 3% within 100 days we would need 1492 participants to have a 80% chance of detecting, as significant at the 5% level, an increase in all-cause mortality from 3% to 6%. Further RCTs are required in children.","We searched for randomised and prospective non-randomised trials. Six studies met our inclusion criteria, four are completed and two are still ongoing. An additional study is awaiting classification. The completed studies were conducted between 1997 and 2015 and included 240 participants. One study included children receiving a stem cell transplant and it was stopped early due to safety concerns (six children), the other three studies only included adults, 218 adults with acute leukaemia receiving chemotherapy, and 16 with a blood cancer receiving a stem cell transplant. Three studies were randomised controlled trials and the fourth was a non-randomised study. The haemoglobin threshold of the restrictive strategies varied across the studies. The sources of funding were reported in all four studies. One study was industry sponsored. The evidence is current to June 2016 and is mainly based on adults with acute leukaemia who are having chemotherapy. A restrictive red blood cell transfusion policy may reduce the number of red blood cell transfusions received by an individual. A restrictive red blood cell transfusion policy may have little or no effect on: whether an individual receives a red blood cell transfusion; death due to any cause; bleeding; or hospital stay. We are uncertain whether a restrictive red blood cell transfusion policy affects quality of life, or the risk of developing a serious infection. No studies were found that looked at: adverse reactions to transfusion; development of blood clots; length of stay in intensive care; or need to be readmitted to hospital. There are two ongoing trials (planning to recruit 530 adults) that are due to be completed by January 2018 and will provide additional information for adults with blood cancers. There are no ongoing trials in children. The overall quality of the evidence was very low to low as the included studies were at considerable risk of bias, the estimates were imprecise, and most of the evidence was only for adults with acute leukaemia."
"37 studies fulfilled eligibility criteria, encompassing 5711 patients, 2866 randomised to routine tube use, and 2845 randomised to selective or No Tube use. Patients not having routine tube use had an earlier return of bowel function (p<0.00001), a decrease in pulmonary complications (p=0.09) and an insignificant trend toward increase in risk of wound infection (p=0.39) and ventral hernia (0.09). Anastomotic leak was no different between groups (p=0.70). Vomiting seemed to favour routine tube use, but with increased patient discomfort. Length of stay was shorter when no tube was used but the heterogeneity encountered in these analyses make rigorous conclusion difficult to draw for this outcome. No adverse events specifically related to tube insertion (direct tube trauma) were reported. Other outcomes were reported with insufficient frequency to be informative. Routine nasogastric decompression does not accomplish any of its intended goals and so should be abandoned in favour of selective use of the nasogastric tube.","This systematic review of 37 trials showed that routine use of nasogastric tube decompression after abdominal operations, rather than speeding recovery, may slow recovery down and increase the risk of some postoperative complications. On the other hand routine use may decrease the risk of wound infection and subsequent ventral hernia."
"Five trials involving 7391 women (2033 with a history of a pregnancy affected by a NTD and 5358 with no history of NTDs) were included. Four comparisons were made: 1) supplementation with any folate versus no intervention, placebo or other micronutrients without folate (five trials); 2) supplementation with folic acid alone versus no treatment or placebo (one trial); 3) supplementation with folate plus other micronutrients versus other micronutrients without folate (four trials); and 4) supplementation with folate plus other micronutrients versus the same other micronutrients without folate (two trials). The risk of bias of the trials was variable. Only one trial was considered to be at low risk of bias. The remaining studies lacked clarity regarding the randomisation method or whether the allocation to the intervention was concealed. All the participants were blinded to the intervention, though blinding was unclear for outcome assessors in the five trials. The results of the first comparison involving 6708 births with information on NTDs and other infant outcomes, show a protective effect of daily folic acid supplementation (alone or in combination with other vitamins and minerals) in preventing NTDs compared with no interventions/placebo or vitamins and minerals without folic acid (risk ratio (RR) 0.31, 95% confidence interval (CI) 0.17 to 0.58); five studies; 6708 births; high quality evidence). Only one study assessed the incidence of NTDs and showed no evidence of an effect (RR 0.07, 95% CI 0.00 to 1.32; 4862 births) although no events were found in the group that received folic acid. Folic acid had a significant protective effect for reoccurrence (RR 0.34, 95% CI 0.18 to 0.64); four studies; 1846 births). Subgroup analyses suggest that the positive effect of folic acid on NTD incidence and recurrence is not affected by the explored daily folic acid dosage (400 µg (0.4 mg) or higher) or whether folic acid is given alone or with other vitamins and minerals. These results are consistent across all four review comparisons. There is no evidence of any preventive or negative effects on cleft palate (RR 0.73, 95% CI 0.05 to 10.89; three studies; 5612 births; low quality evidence), cleft lip ((RR 0.79, 95% CI 0.14 to 4.36; three studies; 5612 births; low quality evidence), congenital cardiovascular defects (RR 0.57, 95% CI 0.24 to 1.33; three studies; 5612 births; low quality evidence), miscarriages (RR 1.10, 95% CI 0.94 to 1.28; five studies; 7391 pregnancies; moderate quality evidence) or any other birth defects (RR 0.94, 95% CI 0.53 to 1.66; three studies; 5612 births; low quality evidence). There were no included trials assessing the effects of this intervention on neonatal death, maternal blood folate or anaemia at term. Folic acid, alone or in combination with vitamins and minerals, prevents NTDs, but does not have a clear effect on other birth defects.","This review confirms that folic acid supplementation prevents the first and second time occurrence of NTDs and shows there is not enough evidence to determine if folic acid prevents other birth defects. Information about the safety of other current and alternative supplementation schemes and any possible effects on other outcomes for mothers and babies is also lacking. This review of five trials, involving 7391 pregnancies (2033 with a history of a pregnancy affected by a NTD and 5358 with no history of NTDs), shows the protective effect of daily folic acid supplementation in doses ranging from 0.36 mg (360 µg) to 4 mg (4000 µg) a day, with and without other vitamins and minerals, before conception and up to 12 weeks of pregnancy, for preventing the recurrence of these defects. There were insufficient data to evaluate the effects on other outcomes such as cleft lip and palate, miscarriages or any other birth defects. More research is needed on different types of supplementation programmes and the use of different types of supplements (such as 5-methyl-tetrahydrofolate -5-MTHF), particularly in countries where folic acid fortification of staple foods like wheat or maize flour is not mandatory and where the prevalence of NTDs is still high. The overall quality of the evidence for neonatal outcomes was high for NTDs, whereas, it was of low quality for other neonatal outcomes. The overall quality of the evidence for maternal outcomes was rated as moderate."
"One study (recruiting 48 women with idiopathic hyperprolactinemia) met our inclusion criteria; 46 women (42 pregnancies - 4/46 women did not conceive during the study period) were included in the analysis. The study compared the use of a dopamine agonist (bromocriptine, 2.5 mg to 5.0 mg/day until the end of the ninth week of gestation) versus a no-treatment control. The study was judged as being at a high risk of bias. It was not possible to carry out meta-analysis due to insufficient data. The study reported both of this review's primary outcomes of miscarriage and live birth. Results from this single study suggest that, compared to no treatment, oral bromocriptine was effective in preventing future miscarriage (risk ratio (RR) 0.28, 95% confidence interval (CI) 0.09 to 0.87, 46 participants (low-quality evidence)) in women with idiopathic hyperprolactinemia. There was no clear difference with regard to the other primary outcome of live births (RR 1.50, 95% CI 0.93 to 2.42, 46 participants (very low-quality evidence)). There was no difference with regard to this review's secondary outcome of conception (RR 0.92, 95% CI 0.77 to 1.09, 46 participants (very low-quality evidence)) between the group of women who received dopamine (21 out of 24 women conceived) and women in the no-treatment group (21 out of 22 women conceived). The included study only reported the serum prolactin levels in pregnant women and therefore the data could not be analyzed in this review. No other secondary outcomes relevant to this review were reported; adverse effects for women (nausea, vomiting, headache, vertigo, fatigue, hypotension, arrhythmia, and psychotic symptoms) and infants (birth defects, low birthweight, and developmental disabilities) were not reported. We downgraded the quality of the evidence for risk of bias in the one trial contributing outcome data (no description of allocation concealment, lack of blinding and possible reporting bias) and for imprecision (all effect estimates were based on small sample size, miscarriage was based on few events, and the 95% CIs of live birth and conception cross the line of no effect). Currently, there is insufficient evidence (from a single randomized trial with a small sample size, and judged to be at high risk of bias) to evaluate the effectiveness of dopamine agonists for preventing future miscarriage in women with idiopathic hyperprolactinemia and a history of recurrent miscarriage. We assessed outcomes using GRADE methodology. Miscarriage was assessed as low quality due to risk of bias concerns in the one trial contributing data (no description of allocation concealment, lack of blinding and possible reporting bias) and to imprecision (effect estimates were based on small sample size and few events). Live births and conception were assessed as of very low quality due to the same risk of bias concerns in study design and to imprecision (with a wide 95% CI consistent with either benefit or harm), and a small sample size. There were no data relating to adverse effects of the intervention for either the mother or her baby. Futher high-quality research in this area is warranted. There is a need for well-designed, larger RCTs to confirm and extend the findings of the trial reviewed here. Many questions remain unanswered. Some important considerations for future research include, the need for well-designed RCTs with large sample sizes, and for those studies to consider important outcomes (including adverse effects for both the mother and her baby). Future studies should examine the effectiveness and safety of various dopamine agonists including bromocriptine, cabergoline and quinagolide.","We searched for evidence on 30 June 2016 and identified one trial with a small number of women - 48 women were recruited but 46 women (42 pregnancies - 4/46 women did not conceive during the study period) are included in the analysis). The trial took place in Japan and was judged to have a high risk of bias. The trial included women (aged 24 to 40 years) with idiopathic hyperprolactinemia and a history of two to four spontaneous miscarriages; 24 had occult hyperprolactinemia with equal numbers in each group. Women were followed during the study (until the end of the ninth week of pregnancy) and then observed for one year afterwards. In the study, one group of women received a dopamine agonist, bromocriptine (2.5 to 5.0 mg/day until the end of the ninth week of gestation), and the other group of women did not receive any treatment (control group). Evidence from this study showed that the dopamine agonist bromocriptine was effective in preventing future miscarriage (low-quality evidence). However, live birth and conception rates remained similar between women who received bromocriptine and the women who did not receive treatment (very low-quality evidence). The study only reported on serum prolactin levels in the women who were pregnant. The study did not report on any adverse effects that dopamine agonists might possibly have for the women (e.g. nausea, vomiting, headache, vertigo, fatigue, hypotension, arrhythmia, and psychotic symptoms) or her baby (e.g. birth defects, low birthweight, and developmental disabilities). We rated the evidence for the review outcomes of miscarriage as low quality and live birth and conception as very low quality due to questions we had about the study design, the small number of women in the study, and because only one randomized controlled study was identified. Currently, there is not enough evidence (from one small trial) to evaluate the effectiveness and safety of dopamine agonists for preventing future miscarriage in women with idiopathic hyperprolactinemia and recurrent miscarriage history. There is a need for further, high-quality research in this area. Future studies (involving large numbers of women) are needed to expand on the findings of this review. Further studies should examine various dopamine agonists (including bromocriptine, cabergoline and quinagolide) and consider important outcomes (including adverse effects for both the mother and her baby)."
"We identified six randomised controlled trials with a total of 597 participants that were eligible for inclusion in the 2013 review. No new studies were eligible for inclusion in this update. Participants in the included studies, where dementia severity was reported, had mild to moderate severity of vascular dementia (four trials). The included studies tested varying doses and duration of Cerebrolysin treatment. Follow-up ranged from 15 days to three years. Five of included studies were conducted in China (three studies), Russia (one study), and Romania (one study), while relevant information of other study was unclear. Where details of funding were available, all studies were supported by the pharmaceutical industry (three studies). Cognitive function was measured using the Mini-Mental State Examination (MMSE) or Alzheimer's Disease Assessment Scale Cognitive Subpart, extended version (ADAS-cog+). Combining the MMSE and ADAS-cog+ data (three studies, 420 people), there was a beneficial effect of Cerebrolysin (SMD 0.36, 95% CI 0.13 to 0.58; very low-quality evidence). Global function was measured by Clinician's Interview-Based Impression of Change plus Caregiver Input (CIBIC+) or Investigator's Clinical Global Impression (CGI). We assessed response rates on these measures (the proportion of participants with a CIBIC+ score of < 3; or at least moderate improvement of the CGI rating at the last visit). There was a beneficial effect of Cerebrolysin (two studies, 379 participants, RR 2.69, 95% CI 1.82 to 3.98; very low-quality evidence). Only one trial described mortality and reported no deaths. Four studies reported adverse events; data from two studies (379 people) were in a format that permitted meta-analysis, and there was no difference in rates of adverse effects (RR 0.91, 95% CI 0.29 to 2.85; very low-quality evidence). No studies reported on quality of life or caregiver burden. Courses of intravenous Cerebrolysin improved cognition and general function in people living with vascular dementia, with no suggestion of adverse effects. However, these data are not definitive. Our analyses were limited by heterogeneity, and the included papers had high risk of bias. If there are benefits of Cerebrolysin, the effects may be too small to be clinically meaningful. There have been no new studies of Cerebrolysin in vascular dementia since the last Cochrane Review. Cerebrolysin continues to be used and promoted as a treatment for vascular dementia, but the supporting evidence base is weak. Adequately powered, methodologically robust trials are needed to properly assess the effects of Cerebrolysin in vascular dementia.","We found six studies including a total of 597 people living with vascular dementia. The method of Cerebrolysin treatment differed across studies, with varying strengths of Cerebrolysin and treatment durations. The studies reported that Cerebrolysin had beneficial effects on memory and thinking and on daily functioning. There was no reported risk of side effects with treatment. None of the studies described quality of life of people living with vascular dementia or their caregivers. Although the studies suggested a benefit of Cerebrolysin treatment, the results are not definitive. The included studies had several issues that may have led to misleading results. Even if the benefit reported in the studies is real, the effect was modest and may not be important to people living with dementia. There is a need for a large, well-conducted study to better understand if Cerebrolysin is a useful treatment for people living with vascular dementia."
"Two trials were included in this review. There was no significant difference between the two treatment groups for the frequency of discontinuation for either contraceptive, although the women on NET-EN were 4% more likely to discontinue for personal reasons than those on DPMA. Discontinuation because of accidental pregnancy did not differ between the groups. Although the duration of bleeding and spotting events was the same in each group, women on DPMA were 21% more likely to develop amenorrhoea. Mean changes in body weight at 12 and 24 months, and in systolic and diastolic blood pressure at 12 months did not differ significantly between the studies. While the choice between DPMA and NET-EN as injectable progestogen contraceptives may vary between both health providers and patients, data from randomized controlled trials indicate little difference between the effects of these methods, except that women on DMPA are more likely to develop amenorrhoea. There is inadequate data to detect differences in some non-menstrual major and minor clinical effects.","In summary, therefore, data from the trials included in this review indicate little difference between the effects of these methods, except that women on DMPA are more likely to experience cessation of vaginal bleeding during its use. There was inadequate data to detect differences in some non-menstrual clinical effects, and considering that this contraceptive method remains in use in some countries, further research is indicated."
"A total of 15 trials (n = 888 randomised participants) were included, 13 were placebo controlled and three were head to head (two trials had more than two treatment arms). Eleven of the trials were conducted in Turkey, two in Japan, one in Iran and one in the UK. Most trials used the International Study Group criteria for Behçet's disease. Eleven different interventions were assessed. The interventions were grouped into two categories, topical and systemic. Only one study was assessed as being at low risk of bias. It was not possible to carry out a meta-analysis. The quality of the evidence ranged from moderate to very low and there was insufficient evidence to support or refute the use of any included intervention with regard to pain, episode duration, or episode frequency associated with oral ulcers, or safety of the interventions. Due to the heterogeneity of trials including trial design, choice of intervention, choice and timing of outcome measures, it was not possible to carry out a meta-analysis. Several interventions show promise and future trials should be planned and reported according to the CONSORT guidelines. Whilst the primary aim of many trials for Behç̧et's disease is not necessarily reduction of oral ulceration, reporting of oral ulcers in these studies should be standardised and pre-specified in the methodology. The use of a core outcome set for oral ulcer trials would be beneficial.","Authors from Cochrane Oral Health carried out this review of existing studies and the evidence is current up to 4 October 2013. The review includes 15 studies published from 1980 to 2012 in which 888 participants were randomised. Eleven of the trials were conducted in Turkey, two in Japan, one in Iran, and one in the UK. Thirteen different interventions were assessed, administered either topically or systemically. Topical interventions: sucralfate, interferon–alpha (different doses), cyclosporin A, triamcinolone acetonide ointment, phenytoin syrup mouthwash. Systemic interventions: aciclovir, thalidomide (different doses), corticosteroids, rebamipide, etanercept, colchicine, interferon–alpha, cyclosporin. There was insufficient evidence to support or refute the use of any included intervention with regard to pain, episode duration or episode frequency associated with oral ulcers, or the safety of the interventions. The quality of the evidence ranged from moderate to very low."
"Four studies, involving a total of 183 participants and 257 teeth were identified. Each of the interventions aimed to reduce infection or alter the inflammatory response or both at the time of or shortly after the tooth or teeth were replanted. Each study assessed a different intervention and therefore it was not appropriate or possible to numerically synthesise the data. All evidence was rated as being of very low quality due to problems with risk of bias and imprecision of results. This means that we are very uncertain about all of the results presented in this review. One study at high risk of bias with 69 participants (138 teeth) compared a 20-minute soak with gentamycin sulphate for both groups prior to replantation with the experimental group receiving daily hyperbaric oxygen for 80 minutes for the first 10 days. There was some evidence of a benefit for the hyperbaric oxygen group in respect of periodontal healing, tooth survival, and pulpal healing. One study at unclear risk of bias with 22 participants (27 teeth) compared the use of two root canal medicaments, Ledermix and Ultracal. There was insufficient evidence of a difference for periodontal healing or tooth survival. This was the only study to formally report adverse events with none identified. Study authors reported that Ledermix caused a greater level of patient dissatisfaction with the colour of avulsed and replanted teeth. A third study at high risk of bias with 19 participants compared extra- or intra-oral endodontics for avulsed teeth which were stored dry for longer than 60 minutes before replantation. There was insufficient evidence of a difference in periodontal healing. The fourth study at high risk of bias with 73 participants compared a 10-minute soak in either thymosin alpha 1 or saline before replantation followed by daily gingival injections with these same medicaments for the first 7 days. There was some evidence of a benefit for thymosin alpha 1 with respect to periodontal healing and tooth survival. Based on the results of the included studies, there is insufficient evidence to support or refute the effectiveness of different interventions for avulsed and replanted permanent front teeth. The overall quality of existing evidence was very low, and therefore great caution should be exercised when generalising the results of the included trials. There is urgent need for further well-designed randomised controlled trials.","Authors from Cochrane Oral Health carried out this review and the evidence is up to date to 8 March 2018. The review investigated what treatments encourage the tooth to repair by periodontal healing. A total of four studies were included with a total of 183 participants with 257 teeth. One study involved children and young adults, with the other three involving children only. Each study evaluated a different treatment: hyperbaric oxygen, root canal pastes (Ledermix versus Ultracal), removal of the nerve of the tooth (pulp extirpation), and soaking the knocked out tooth in thymosin alpha 1. Each of the interventions aimed to reduce infection or change the inflammatory response or both, at the time of or shortly after the tooth or teeth were replanted. The evidence currently available is insufficient to draw reliable conclusions regarding the superiority of different interventions for knocked out and replanted permanent front teeth. There is urgent need for further well-designed randomised controlled trials. We judged the quality of the evidence to be very low due to problems with the design of the studies."
"We included eight trials involving 743 participants (369 children and 374 adults). All trials gave antibiotics to both placebo and corticosteroid groups; no trials assessed corticosteroids as standalone treatment for sore throat. In addition to any effect of antibiotics and analgesia, corticosteroids increased the likelihood of complete resolution of pain at 24 hours by more than three times (risk ratio (RR) 3.2, 95% confidence interval (CI) 2.0 to 5.1, P < 0.001, I2 statistic 44%) and at 48 hours by 1.7 times. Fewer than four people need to be treated to prevent one person continuing to experience pain at 24 hours. Corticosteroids also reduced the mean time to onset of pain relief and the mean time to complete resolution of pain by 6 and 14 hours, respectively, although significant heterogeneity was present. At 24 hours, pain (assessed by visual analogue scores) was reduced by an additional 14% by corticosteroids. No difference in rates of recurrence, relapse or adverse events were reported for participants taking corticosteroids compared to placebo, although reporting of adverse events was poor. Oral or intramuscular corticosteroids, in addition to antibiotics, increase the likelihood of both resolution and improvement of pain in participants with sore throat. Further trials assessing corticosteroids in the absence of antibiotics and in children are warranted.","This systematic review combined the results of eight trials which looked at this question, including a total of 743 participants. Patients taking corticosteroids were three times more likely to experience complete resolution of their sore throat symptoms by 24 hours compared to those taking placebo. In addition, corticosteroids improved the time to onset of symptom relief and the time to complete resolution of symptoms, although the trials were not consistent for these outcomes. Adverse events, relapse rates and recurrence rates were not different for corticosteroid compared to placebo groups. Limitations of the review include the absence of any trials set in Europe and the fact that only two trials addressed the question in children. As all the included trials also gave antibiotics to all participants, we recommend that future research should examine the benefit of corticosteroids in patients who are not also taking antibiotics."
"Of 10 eligible studies eight were included in the analyses; two were of insufficient quality. Three trials (746 patients, low quality of evidence) of efficacy in acute bronchitis in adults showed effectiveness for most outcomes in the liquid preparation but not for tablets. Three other trials (819 children, low quality of evidence) showed similar results for acute bronchitis in children. For both meta-analyses, we did not pool subtotals due to relevant heterogeneity induced by type of preparation. One study in patients with sinusitis (n = 103 adults, very low quality of evidence) showed significant treatment effects (complete resolution at day 21; RR 0.43, 95% confidence interval (CI) 0.30 to 0.62). One study in the common cold demonstrated efficacy after 10 days, but not five days (very low quality of evidence). We rated the study quality as moderate for all studies (unvalidated outcome assessment, minor attrition problems, investigator-initiated trials only). Based on the funnel plot there was suspicion of publication bias. There were no valid data for the treatment of other acute respiratory tract infections. Adverse events were more common with P. sidoides, but none were serious. P. sidoides may be effective in alleviating symptoms of acute rhinosinusitis and the common cold in adults, but doubt exists. It may be effective in relieving symptoms in acute bronchitis in adults and children, and sinusitis in adults. The overall quality of the evidence was considered low for main outcomes in acute bronchitis in children and adults, and very low for acute sinusitis and the common cold. Reliable data on treatment for other ARIs were not identified.","We reviewed 10 randomized clinical trials of which eight were of sufficient quality for inclusion into the analyses. Three trials dealt with acute bronchitis in adults and showed inconsistent but overall positive results for resolution of symptoms (all symptoms, cough and sputum production). For acute bronchitis in children, there were also three studies showing an inconsistent but overall positive combined effect. The available data indicate that the tablet form may be less effective compared to the alcoholic extract. However, the number of trials is not sufficient to prove this. One study each was available for the treatment of acute sinusitis and the common cold in adults. Both showed that the drug was effective in resolving all symptoms including headaches and nasal discharge when taken for an extended time period. Adverse events were more common with P. sidoides, but none were severe. Overall we considered the quality of the evidence low or very low for all major outcomes as there were few studies per disease entity, and all were from the same investigator (the manufacturer) and performed in the same region (Ukraine and Russia). Thus, in summary, there is limited evidence for the effectiveness of P. sidoides in the treatment of ARIs. The evidence is up to date as of April 2013."
"We included 27 trials with 12,835 cases of sore throat. We did not identify any new trials in this 2013 update. 1. Symptoms Throat soreness and fever were reduced by about half by using antibiotics. The greatest difference was seen at day three. The number needed to treat to benefit (NNTB) to prevent one sore throat at day three was less than six; at week one it was 21. 2. Non-suppurative complications The trend was antibiotics protecting against acute glomerulonephritis but there were too few cases to be sure. Several studies found antibiotics reduced acute rheumatic fever by more than two-thirds within one month (risk ratio (RR) 0.27; 95% confidence interval (CI) 0.12 to 0.60). 3. Suppurative complications Antibiotics reduced the incidence of acute otitis media within 14 days (RR 0.30; 95% CI 0.15 to 0.58); acute sinusitis within 14 days (RR 0.48; 95% CI 0.08 to 2.76); and quinsy within two months (RR 0.15; 95% CI 0.05 to 0.47) compared to those taking placebo. 4. Subgroup analyses of symptom reduction Antibiotics were more effective against symptoms at day three (RR 0.58; 95% CI 0.48 to 0.71) if throat swabs were positive for Streptococcus, compared to RR 0.78; 95% CI 0.63 to 0.97 if negative. Similarly at week one the RR was 0.29 (95% CI 0.12 to 0.70) for positive and 0.73 (95% CI 0.50 to 1.07) for negative Streptococcus swabs. Antibiotics confer relative benefits in the treatment of sore throat. However, the absolute benefits are modest. Protecting sore throat sufferers against suppurative and non-suppurative complications in high-income countries requires treating many with antibiotics for one to benefit. This NNTB may be lower in low-income countries. Antibiotics shorten the duration of symptoms by about 16 hours overall.","The review is current to July 2013 and included 27 trials with 12,835 cases of sore throat. All of the included studies were randomised, placebo-controlled trials which sought to determine if antibiotics helped reduce symptoms of either sore throat, fever and headache or the occurrence of more serious complications. Studies were conducted among both children and adults. The review found that antibiotics shorten the duration of pain symptoms by an average of about one day and can reduce the chance of rheumatic fever by more than two-thirds in communities where this complication is common. Other complications associated with sore throat are also reduced through antibiotic use. The quality of the included studies was moderate to high. However, there were very few recent trials included in the review (only three since 2000), hence it is unclear if changes in bacterial resistance in the community may have affected the effectiveness of antibiotics."
